game,game_name,split,variant,variant_label,draws,selection_overlap,exact_selection_rate,delta_best_main_hits,delta_total_main_hits,delta_union_main_hits,delta_union_size
lotto649,大樂透,development,confidence_off,評論信心度關閉,1466,0.931650750341064,0.7094133697135061,-0.0006821282401091405,0.0034106412005457027,0.004092769440654843,-0.06753069577080491
lotto649,大樂透,development,disagreement_off,分歧懲罰關閉,1466,0.9732605729877216,0.8894952251023193,0.0034106412005457027,0.0006821282401091405,0.0006821282401091405,-0.027285129604365622
lotto649,大樂透,development,diversity_off,五注重疊懲罰關閉,1466,0.8725784447476126,0.47748976807639837,-0.019781718963165076,-0.011596180081855388,-0.1043656207366985,-0.9474761255115962
lotto649,大樂透,development,equal_ratings,所有 Agent 等權,1466,0.8115961800818554,0.30763983628922237,-0.02660300136425648,-0.061391541609822645,-0.06002728512960437,-0.16098226466575716
lotto649,大樂透,development,voice_off,同 Agent 集中懲罰關閉,1466,0.8091405184174625,0.24010914051841747,-0.006139154160982265,0.018417462482946793,0.019781718963165076,0.08185538881309687
lotto649,大樂透,holdout,confidence_off,評論信心度關閉,629,0.9297297297297297,0.699523052464229,-0.001589825119236884,0.01589825119236884,-0.003179650238473768,0.0047694753577106515
lotto649,大樂透,holdout,disagreement_off,分歧懲罰關閉,629,0.9701112877583467,0.8616852146263911,0.006359300476947536,0.014308426073131956,-0.003179650238473768,-0.003179650238473768
lotto649,大樂透,holdout,diversity_off,五注重疊懲罰關閉,629,0.8674085850556439,0.4642289348171701,-0.0047694753577106515,0.025437201907790145,-0.14308426073131955,-1.0158982511923689
lotto649,大樂透,holdout,equal_ratings,所有 Agent 等權,629,0.7933227344992051,0.2702702702702703,0.006359300476947536,0.019077901430842606,-0.04769475357710652,-0.16057233704292528
lotto649,大樂透,holdout,voice_off,同 Agent 集中懲罰關閉,629,0.8104928457869635,0.26232114467408585,0.011128775834658187,0.04769475357710652,0.011128775834658187,0.17488076311605724
super,威力彩,development,confidence_off,評論信心度關閉,1309,0.906646294881589,0.6210847975553858,-0.006875477463712758,0.009931245225362872,0.0015278838808250573,-0.0985485103132162
super,威力彩,development,disagreement_off,分歧懲罰關閉,1309,0.971275783040489,0.8754774637127578,-0.002291825821237586,0.019862490450725745,0.002291825821237586,-0.03896103896103896
super,威力彩,development,diversity_off,五注重疊懲罰關閉,1309,0.8591291061879298,0.43086325439266615,-0.020626432391138275,0.020626432391138275,-0.1650114591291062,-1.0252100840336134
super,威力彩,development,equal_ratings,所有 Agent 等權,1309,0.8189457601222307,0.3277310924369748,-0.0038197097020626434,0.030557677616501147,-0.0374331550802139,-0.21543162719633308
super,威力彩,development,voice_off,同 Agent 集中懲罰關閉,1309,0.8099312452253629,0.24369747899159663,0.0,-0.0015278838808250573,0.016042780748663103,0.06722689075630252
super,威力彩,holdout,confidence_off,評論信心度關閉,562,0.895017793594306,0.5925266903914591,0.023131672597864767,0.03202846975088968,0.037366548042704624,-0.09252669039145907
super,威力彩,holdout,disagreement_off,分歧懲罰關閉,562,0.9693950177935943,0.8683274021352313,0.008896797153024912,0.033807829181494664,0.042704626334519574,0.0071174377224199285
super,威力彩,holdout,diversity_off,五注重疊懲罰關閉,562,0.8476868327402136,0.3914590747330961,-0.017793594306049824,0.030249110320284697,-0.13345195729537365,-1.195729537366548
super,威力彩,holdout,equal_ratings,所有 Agent 等權,562,0.7743772241992882,0.23665480427046262,0.030249110320284697,0.06583629893238434,0.042704626334519574,-0.2722419928825623
super,威力彩,holdout,voice_off,同 Agent 集中懲罰關閉,562,0.800355871886121,0.22597864768683273,0.042704626334519574,0.06405693950177936,0.06227758007117438,0.06583629893238434
