game,game_name,split,subset_id,agents,agent_count,draws,best_main_hits,total_main_hits,any_three_plus,special_hit_tickets,winning_tickets,any_prize,union_main_hits,union_size,delta_best_vs_random,delta_best_vs_random_ci_low,delta_best_vs_random_ci_high
lotto649,大樂透,development,antipop_taoist+balance_engineer,antipop_taoist+balance_engineer,2,1465,1.62320819112628,3.6744027303754265,0.07440273037542662,0.6143344709897611,0.13447098976109215,0.12559726962457338,2.8696245733788395,23.43003412969283,-0.012860068259385668,,
lotto649,大樂透,development,antipop_taoist+balance_engineer+cold_keeper,antipop_taoist+balance_engineer+cold_keeper,3,1465,1.5890784982935153,3.6225255972696244,0.07781569965870307,0.6143344709897611,0.13174061433447098,0.12559726962457338,2.776109215017065,22.70580204778157,-0.046989761092150174,,
lotto649,大樂透,development,antipop_taoist+balance_engineer+cold_keeper+hot_hunter,antipop_taoist+balance_engineer+cold_keeper+hot_hunter,4,1465,1.6136518771331059,3.6668941979522183,0.07235494880546076,0.5986348122866895,0.13447098976109215,0.12764505119453926,2.8976109215017063,23.76382252559727,-0.02241638225255973,,
lotto649,大樂透,development,antipop_taoist+balance_engineer+cold_keeper+hot_hunter+random_monk,antipop_taoist+balance_engineer+cold_keeper+hot_hunter+random_monk,5,1465,1.6368600682593857,3.6484641638225255,0.07713310580204778,0.6245733788395904,0.14061433447098975,0.13515358361774743,2.9501706484641637,24.183617747440273,0.0007918088737201339,,
lotto649,大樂透,development,antipop_taoist+balance_engineer+cold_keeper+random_monk,antipop_taoist+balance_engineer+cold_keeper+random_monk,4,1465,1.6122866894197951,3.6320819112627984,0.07713310580204778,0.6191126279863481,0.13583617747440274,0.1296928327645051,2.849829351535836,23.408191126279863,-0.02378156996587031,,
lotto649,大樂透,development,antipop_taoist+balance_engineer+hot_hunter,antipop_taoist+balance_engineer+hot_hunter,3,1465,1.6034129692832764,3.651877133105802,0.07645051194539249,0.6040955631399317,0.14129692832764504,0.13310580204778158,2.866211604095563,23.47235494880546,-0.03265529010238908,,
lotto649,大樂透,development,antipop_taoist+balance_engineer+hot_hunter+random_monk,antipop_taoist+balance_engineer+hot_hunter+random_monk,4,1465,1.6389078498293514,3.673037542662116,0.07440273037542662,0.6402730375426621,0.1392491467576792,0.13447098976109215,2.9276450511945393,23.861433447098975,0.002839590443686004,,
lotto649,大樂透,development,antipop_taoist+balance_engineer+random_monk,antipop_taoist+balance_engineer+random_monk,3,1465,1.6307167235494882,3.6600682593856657,0.08327645051194539,0.6327645051194539,0.14129692832764504,0.1378839590443686,2.912627986348123,23.742662116040954,-0.005351535836177476,,
lotto649,大樂透,development,antipop_taoist+cold_keeper,antipop_taoist+cold_keeper,2,1465,1.5870307167235496,3.6675767918088735,0.07508532423208192,0.595221843003413,0.1310580204778157,0.12354948805460751,2.785665529010239,22.737883959044368,-0.049037542662116046,,
lotto649,大樂透,development,antipop_taoist+cold_keeper+hot_hunter,antipop_taoist+cold_keeper+hot_hunter,3,1465,1.6307167235494882,3.6744027303754265,0.07713310580204778,0.6109215017064846,0.14197952218430035,0.13378839590443686,2.8764505119453925,23.56655290102389,-0.005351535836177476,,
lotto649,大樂透,development,antipop_taoist+cold_keeper+hot_hunter+random_monk,antipop_taoist+cold_keeper+hot_hunter+random_monk,4,1465,1.6382252559726962,3.675085324232082,0.07645051194539249,0.6245733788395904,0.13993174061433447,0.13310580204778158,2.936518771331058,23.965870307167236,0.0021569965870307144,,
lotto649,大樂透,development,antipop_taoist+cold_keeper+random_monk,antipop_taoist+cold_keeper+random_monk,3,1465,1.6136518771331059,3.6532423208191127,0.07781569965870307,0.6102389078498294,0.13310580204778158,0.12491467576791809,2.836860068259386,23.172013651877133,-0.02241638225255973,,
lotto649,大樂透,development,antipop_taoist+hot_hunter,antipop_taoist+hot_hunter,2,1465,1.6068259385665529,3.6573378839590442,0.07508532423208192,0.6075085324232082,0.1385665529010239,0.1310580204778157,2.847098976109215,23.36109215017065,-0.02924232081911263,,
lotto649,大樂透,development,antipop_taoist+hot_hunter+random_monk,antipop_taoist+hot_hunter+random_monk,3,1465,1.6273037542662117,3.6764505119453923,0.07781569965870307,0.6361774744027304,0.14607508532423208,0.13993174061433447,2.9180887372013653,23.66621160409556,-0.008764505119453926,,
