game,game_name,split,agent,agent_name,draws,proposal_mean_main_hits,proposal_best_main_hits,unique_candidate_numbers,selected_ticket_share,leaveout_delta_best_main_hits,leaveout_delta_best_main_hits_ci_low,leaveout_delta_best_main_hits_ci_high,leaveout_delta_union_main_hits,replacement_delta_best_main_hits,replacement_delta_best_main_hits_ci_low,replacement_delta_best_main_hits_ci_high,replacement_delta_total_main_hits,replacement_delta_union_main_hits,replacement_delta_union_size,replacement_selection_overlap,action
lotto649,大樂透,development,antipop_taoist,反眾道人,1465,0.7328782707622299,1.336518771331058,3.339249146757679,0.29460750853242323,0.012286689419795221,-0.019795221843003412,0.04368600682593857,-0.011604095563139932,0.03890784982935153,-0.0013651877133105802,0.08056313993174052,-0.007508532423208191,0.30580204778156994,2.5658703071672355,0.4296245733788396,inconclusive
lotto649,大樂透,development,balance_engineer,均衡工程師,1465,0.740386803185438,1.360409556313993,3.4027303754266214,0.02839590443686007,0.0006825938566552901,-0.026621160409556314,0.029351535836177476,-0.021160409556313993,0.022525597269624574,-0.012986348122866894,0.05803754266211595,0.008873720136518772,0.31604095563139933,2.4627986348122866,0.5236860068259386,inconclusive
lotto649,大樂透,development,cold_keeper,冷灶守望者,1465,0.7362912400455063,1.2989761092150172,3.137883959044369,0.1590443686006826,-0.0027303754266211604,-0.030034129692832763,0.025255972696245733,-0.0348122866894198,0.0348122866894198,-0.005460750853242321,0.07372013651877134,0.023890784982935155,0.3078498293515358,2.320136518771331,0.522457337883959,inconclusive
lotto649,大樂透,development,hot_hunter,熱手獵人,1465,0.7215017064846416,1.3392491467576793,3.6948805460750855,0.2367235494880546,-0.017747440273037544,-0.04778156996587031,0.010921501706484642,-0.09146757679180888,0.019795221843003412,-0.012969283276450512,0.05324232081911263,0.025255972696245733,0.2962457337883959,2.1453924914675766,0.5047098976109214,inconclusive
lotto649,大樂透,development,random_monk,亂數修士,1465,0.7360637087599544,1.3726962457337883,3.454607508532423,0.2812286689419795,-0.021160409556313993,-0.05597269624573379,0.010238907849829351,-0.048464163822525594,0.032081911262798635,-0.0034129692832764505,0.06825938566552901,0.0027303754266211604,0.26621160409556316,2.263481228668942,0.49419795221843005,inconclusive
lotto649,大樂透,holdout,antipop_taoist,反眾道人,628,0.7680467091295117,1.3980891719745223,3.498407643312102,0.30636942675159234,-0.03184713375796178,-0.08121019108280254,0.01910828025477707,-0.08121019108280254,0.03821656050955414,-0.009593949044585985,0.08917197452229299,-0.0031847133757961785,0.30254777070063693,2.5,0.4162420382165605,inconclusive
lotto649,大樂透,holdout,balance_engineer,均衡工程師,628,0.7404458598726115,1.3789808917197452,3.4251592356687897,0.03280254777070064,-0.009554140127388535,-0.04303343949044586,0.02388535031847134,-0.027070063694267517,-0.004777070063694267,-0.06210191082802548,0.050955414012738856,-0.06847133757961783,0.22929936305732485,2.286624203821656,0.5385350318471337,inconclusive
lotto649,大樂透,holdout,cold_keeper,冷灶守望者,628,0.7542462845010615,1.335987261146497,3.1863057324840764,0.1621019108280255,0.03343949044585987,-0.006369426751592357,0.0732484076433121,0.004777070063694267,0.0,-0.05732484076433121,0.062141719745222715,-0.11464968152866242,0.15764331210191082,2.2786624203821657,0.5117834394904458,inconclusive
lotto649,大樂透,holdout,hot_hunter,熱手獵人,628,0.7494692144373672,1.3630573248407643,3.671974522292994,0.22452229299363058,0.007961783439490446,-0.044585987261146494,0.06210191082802548,-0.07802547770700637,0.050955414012738856,-0.007961783439490446,0.10987261146496816,0.06528662420382166,0.25955414012738853,1.9522292993630572,0.521656050955414,inconclusive
lotto649,大樂透,holdout,random_monk,亂數修士,628,0.7563694267515924,1.3805732484076434,3.4920382165605095,0.274203821656051,0.004777070063694267,-0.04144108280254776,0.050955414012738856,-0.08598726114649681,0.041401273885350316,-0.01751592356687898,0.10195063694267495,-0.02388535031847134,0.2197452229299363,2.251592356687898,0.4968152866242038,inconclusive
