game,game_name,split,partitioner,draws,best_main_hits,any_three_plus,any_prize,best_main_hits_minus_round_robin,any_three_plus_minus_round_robin,any_prize_minus_round_robin
super,威力彩,development,round_robin,1308,2.0726299694189603,0.20412844036697247,0.5466360856269113,0.0,0.0,0.0
super,威力彩,development,chunks,1308,2.058103975535168,0.18807339449541285,0.5359327217125383,-0.014525993883792054,-0.01605504587155962,-0.010703363914373099
super,威力彩,development,snake,1308,2.061926605504587,0.18577981651376146,0.540519877675841,-0.01070336391437321,-0.01834862385321101,-0.006116207951070374
super,威力彩,development,proposal_affinity,1308,2.079510703363914,0.19954128440366972,0.5535168195718655,0.006880733944953921,-0.0045871559633027525,0.006880733944954143
super,威力彩,development,proposal_anti,1308,2.067278287461774,0.19648318042813456,0.5451070336391437,-0.005351681957186383,-0.007645259938837912,-0.001529051987767649
super,威力彩,development,history_all_affinity,1308,2.0603975535168195,0.18883792048929662,0.5519877675840978,-0.012232415902140747,-0.015290519877675851,0.005351681957186494
super,威力彩,development,history_all_anti,1308,2.055810397553517,0.18042813455657492,0.5535168195718655,-0.01681957186544336,-0.02370030581039756,0.006880733944954143
super,威力彩,development,history_52_affinity,1308,2.062691131498471,0.2018348623853211,0.5565749235474006,-0.00993883792048944,-0.0022935779816513624,0.009938837920489219
super,威力彩,development,history_52_anti,1308,2.0535168195718656,0.1926605504587156,0.5481651376146789,-0.019113149847094668,-0.011467889908256867,0.001529051987767538
super,威力彩,development,seeded_shuffle,1308,2.0825688073394497,0.20718654434250763,0.5573394495412844,0.00993883792048944,0.003058103975535159,0.010703363914373099
super,威力彩,holdout,round_robin,561,2.073083778966132,0.19964349376114082,0.5454545454545454,0.0,0.0,0.0
super,威力彩,holdout,chunks,561,2.0944741532976825,0.2192513368983957,0.5258467023172906,0.021390374331550444,0.019607843137254888,-0.019607843137254832
super,威力彩,holdout,snake,561,2.121212121212121,0.2192513368983957,0.5543672014260249,0.04812834224598905,0.019607843137254888,0.0089126559714795
super,威力彩,holdout,proposal_affinity,561,2.0980392156862746,0.20855614973262032,0.5222816399286988,0.024955436720142554,0.0089126559714795,-0.02317290552584661
super,威力彩,holdout,proposal_anti,561,2.124777183600713,0.22638146167557932,0.5472370766488414,0.051693404634581164,0.0267379679144385,0.0017825311942959443
super,威力彩,holdout,history_all_affinity,561,2.0623885918003566,0.19429590017825313,0.5347593582887701,-0.010695187165775444,-0.005347593582887694,-0.010695187165775333
super,威力彩,holdout,history_all_anti,561,2.0659536541889483,0.2014260249554367,0.5454545454545454,-0.007130124777183777,0.0017825311942958888,0.0
super,威力彩,holdout,history_52_affinity,561,2.10873440285205,0.21390374331550802,0.5418894830659536,0.035650623885918,0.014260249554367194,-0.0035650623885917776
super,威力彩,holdout,history_52_anti,561,2.064171122994652,0.18716577540106952,0.5472370766488414,-0.008912655971479833,-0.012477718360071305,0.0017825311942959443
super,威力彩,holdout,seeded_shuffle,561,2.10873440285205,0.21746880570409982,0.5436720142602496,0.035650623885918,0.017825311942959,-0.0017825311942958333
lotto649,大樂透,development,round_robin,1465,1.7406143344709897,0.09965870307167235,0.157679180887372,0.0,0.0,0.0
lotto649,大樂透,development,chunks,1465,1.7522184300341297,0.1037542662116041,0.1597269624573379,0.011604095563140016,0.004095563139931743,0.0020477815699658786
lotto649,大樂透,development,snake,1465,1.7488054607508532,0.09419795221843004,0.15426621160409557,0.008191126279863514,-0.0054607508532423105,-0.0034129692832764458
lotto649,大樂透,development,proposal_affinity,1465,1.731740614334471,0.08668941979522184,0.16040955631399317,-0.00887372013651877,-0.012969283276450513,0.002730375426621162
lotto649,大樂透,development,proposal_anti,1465,1.7488054607508532,0.09897610921501707,0.1590443686006826,0.008191126279863514,-0.0006825938566552836,0.001365187713310595
lotto649,大樂透,development,history_all_affinity,1465,1.7344709897610922,0.09146757679180888,0.14812286689419796,-0.006143344709897525,-0.008191126279863473,-0.009556313993174054
lotto649,大樂透,development,history_all_anti,1465,1.7569965870307167,0.09761092150170649,0.15494880546075085,0.01638225255972703,-0.0020477815699658647,-0.002730375426621162
lotto649,大樂透,development,history_52_affinity,1465,1.7426621160409557,0.09488054607508532,0.1658703071672355,0.0020477815699659896,-0.004778156996587027,0.008191126279863487
lotto649,大樂透,development,history_52_anti,1465,1.7508532423208192,0.09761092150170649,0.1453924914675768,0.010238907849829504,-0.0020477815699658647,-0.012286689419795216
lotto649,大樂透,development,seeded_shuffle,1465,1.7242320819112629,0.08327645051194539,0.1378839590443686,-0.016382252559726806,-0.01638225255972696,-0.01979522184300342
lotto649,大樂透,holdout,round_robin,628,1.7054140127388535,0.07802547770700637,0.11942675159235669,0.0,0.0,0.0
lotto649,大樂透,holdout,chunks,628,1.7213375796178343,0.08917197452229299,0.1464968152866242,0.015923566878980777,0.011146496815286622,0.02707006369426751
lotto649,大樂透,holdout,snake,628,1.7770700636942676,0.09713375796178345,0.15445859872611464,0.07165605095541405,0.01910828025477708,0.035031847133757954
lotto649,大樂透,holdout,proposal_affinity,628,1.7372611464968153,0.1035031847133758,0.1735668789808917,0.031847133757961776,0.025477707006369435,0.05414012738853502
lotto649,大樂透,holdout,proposal_anti,628,1.7245222929936306,0.08121019108280254,0.13853503184713375,0.019108280254777066,0.0031847133757961776,0.019108280254777066
lotto649,大樂透,holdout,history_all_affinity,628,1.7197452229299364,0.08439490445859872,0.1480891719745223,0.014331210191082855,0.006369426751592355,0.0286624203821656
lotto649,大樂透,holdout,history_all_anti,628,1.7484076433121019,0.1035031847133758,0.15286624203821655,0.04299363057324834,0.025477707006369435,0.033439490445859865
lotto649,大樂透,holdout,history_52_affinity,628,1.7643312101910829,0.09235668789808917,0.15445859872611464,0.05891719745222934,0.0143312101910828,0.035031847133757954
lotto649,大樂透,holdout,history_52_anti,628,1.7563694267515924,0.1035031847133758,0.17038216560509553,0.05095541401273884,0.025477707006369435,0.05095541401273884
lotto649,大樂透,holdout,seeded_shuffle,628,1.7611464968152866,0.10668789808917198,0.1735668789808917,0.05573248407643305,0.028662420382165613,0.05414012738853502
