game,game_name,split,agent_count,agent_count_label,combinations,draws,best_main_hits,total_main_hits,any_three_plus,special_hit_tickets,winning_tickets,any_prize,union_main_hits,union_size,random_best_main_hits,delta_best_vs_random,delta_best_vs_random_ci_low,delta_best_vs_random_ci_high,delta_best_vs_two,delta_best_vs_two_ci_low,delta_best_vs_two_ci_high
lotto649,大樂透,development,2,2 個 Agent,10,1465,1.6194539249146758,3.66716723549488,0.08300341296928328,0.6002047781569966,0.1394539249146758,0.13276450511945392,2.832491467576792,23.113378839590442,1.6360682593856657,-0.016614334470989773,-0.03759018771331061,0.0038841296928327513,0.0,0.0,0.0
lotto649,大樂透,development,3,3 個 Agent,10,1465,1.6270307167235494,3.6596587030716723,0.08232081911262798,0.6101023890784982,0.14197952218430035,0.13508532423208192,2.8714675767918085,23.428532423208193,1.6360682593856657,-0.009037542662116042,-0.030401279863481213,0.012456313993174047,0.007576791808873733,-0.002459044368600672,0.01740614334470991
lotto649,大樂透,development,4,4 個 Agent,5,1465,1.630307167235495,3.6543344709897614,0.07672354948805461,0.6158361774744028,0.13747440273037542,0.1310580204778157,2.9068941979522185,23.801092150170646,1.6360682593856657,-0.00576109215017064,-0.03045605802047783,0.018851535836177467,0.010853242320819134,-0.006962457337883935,0.028054607508532437
lotto649,大樂透,development,5,5 個 Agent,1,1465,1.6368600682593857,3.6484641638225255,0.07713310580204778,0.6245733788395904,0.14061433447098975,0.13515358361774743,2.9501706484641637,24.183617747440273,1.6360682593856657,0.0007918088737201339,-0.03358088737201367,0.033638822525597266,0.01740614334470991,-0.009284982935153573,0.04601194539249143
lotto649,大樂透,holdout,2,2 個 Agent,10,628,1.6630573248407645,3.781210191082802,0.09904458598726115,0.595859872611465,0.17149681528662422,0.15700636942675159,2.8855095541401274,23.147611464968154,1.6379299363057322,0.025127388535031846,-0.004576831210191083,0.056461186305732464,0.0,0.0,0.0
lotto649,大樂透,holdout,3,3 個 Agent,10,628,1.6581210191082802,3.7417197452229303,0.0980891719745223,0.6113057324840764,0.1697452229299363,0.15700636942675159,2.8942675159235667,23.45764331210191,1.6379299363057322,0.020191082802547788,-0.012247412420382152,0.05571755573248402,-0.0049363057324840615,-0.02054140127388532,0.011309713375796183
lotto649,大樂透,holdout,4,4 個 Agent,5,628,1.6528662420382165,3.727707006369427,0.09649681528662421,0.6101910828025477,0.171656050955414,0.15955414012738853,2.9563694267515923,23.84012738853503,1.6379299363057322,0.014936305732484095,-0.02572969745222928,0.053581608280254746,-0.010191082802547755,-0.03535031847133756,0.014335191082802548
lotto649,大樂透,holdout,5,5 個 Agent,1,628,1.6528662420382165,3.6863057324840764,0.09713375796178345,0.6257961783439491,0.16560509554140126,0.15445859872611464,3.0063694267515926,24.230891719745223,1.6379299363057322,0.014936305732484082,-0.03883180732484073,0.0703216560509554,-0.010191082802547763,-0.049685509554140125,0.02818869426751593
super,威力彩,development,2,2 個 Agent,10,1308,1.9097094801223242,4.72354740061162,0.17553516819571865,0.6344036697247706,0.59434250764526,0.4638379204892967,3.3928134556574925,21.46857798165138,1.9265711009174311,-0.01686162079510704,-0.038441418195718675,0.0049279434250764425,0.0,0.0,0.0
super,威力彩,development,3,3 個 Agent,10,1308,1.9197247706422018,4.723165137614679,0.17599388379204892,0.6318042813455658,0.5896024464831805,0.4654434250764526,3.430810397553517,21.753746177370033,1.9265711009174311,-0.0068463302752293596,-0.03207272553516821,0.016304185779816516,0.010015290519877682,-0.001834862385321092,0.021406727828746194
super,威力彩,development,4,4 個 Agent,5,1308,1.9246177370030582,4.728899082568807,0.1756880733944954,0.6299694189602446,0.589908256880734,0.4717125382262997,3.4886850152905198,22.07354740061162,1.9265711009174311,-0.0019533639143730773,-0.02709575688073394,0.026592316513761458,0.014908256880733963,-0.002446483180428112,0.03287652905198777
super,威力彩,development,5,5 個 Agent,1,1308,1.9243119266055047,4.717125382262997,0.17584097859327216,0.6123853211009175,0.5718654434250765,0.4648318042813456,3.5160550458715596,22.398318042813457,1.9265711009174311,-0.002259174311926604,-0.03805905963302751,0.03432521024464831,0.014602446483180438,-0.013922018348623848,0.043042813455657476
super,威力彩,holdout,2,2 個 Agent,10,561,1.9105169340463457,4.7062388591800355,0.1748663101604278,0.6176470588235294,0.5816399286987523,0.46292335115864525,3.3538324420677363,21.412655971479502,1.9274420677361854,-0.016925133689839573,-0.045485294117647054,0.011470588235294116,0.0,0.0,0.0
super,威力彩,holdout,3,3 個 Agent,10,561,1.9140819964349376,4.68270944741533,0.17557932263814616,0.6085561497326203,0.5795008912655972,0.46345811051693403,3.396969696969697,21.70516934046346,1.9274420677361854,-0.013360071301247773,-0.046811274509803935,0.019828208556149706,0.0035650623885918028,-0.011412655971479502,0.018538324420677363
super,威力彩,holdout,4,4 個 Agent,5,561,1.9176470588235293,4.654545454545454,0.1696969696969697,0.6057040998217469,0.5611408199643494,0.4459893048128343,3.439572192513369,22.09661319073084,1.9274420677361854,-0.009795008912655957,-0.048104723707664894,0.026912878787878708,0.0071301247771836185,-0.01765151515151514,0.03030303030303031
super,威力彩,holdout,5,5 個 Agent,1,561,1.9197860962566844,4.647058823529412,0.1711229946524064,0.6131907308377896,0.5846702317290553,0.45276292335115864,3.4955436720142603,22.51693404634581,1.9274420677361854,-0.007655971479500888,-0.06282308377896612,0.04858444741532976,0.009269162210338687,-0.037794117647058825,0.05579322638146167
