game,game_name,split,ranker,draws,union_main_hits,best_main_hits,any_three_plus,any_prize,union_main_hits_minus_consensus,best_main_hits_minus_consensus,any_three_plus_minus_consensus,any_prize_minus_consensus
super,威力彩,development,consensus,1308,4.731651376146789,2.0726299694189603,0.20412844036697247,0.5466360856269113,0.0,0.0,0.0,0.0
super,威力彩,development,hot_all,1308,4.758409785932722,2.0596330275229358,0.17966360856269112,0.5481651376146789,0.026758409785933246,-0.012996941896024516,-0.024464831804281356,0.001529051987767538
super,威力彩,development,gap,1308,4.777522935779817,2.0565749235474007,0.18425076452599387,0.5481651376146789,0.045871559633027914,-0.016055045871559592,-0.019877675840978604,0.001529051987767538
super,威力彩,development,hot_13,1308,4.720948012232416,2.0458715596330275,0.1743119266055046,0.5099388379204893,-0.010703363914372765,-0.026758409785932802,-0.029816513761467878,-0.03669724770642202
super,威力彩,development,cold_13,1308,4.740061162079511,2.0825688073394497,0.2018348623853211,0.5504587155963303,0.008409785932721903,0.00993883792048944,-0.0022935779816513624,0.003822629969418956
super,威力彩,development,mix_13,1308,4.742354740061162,2.058868501529052,0.19342507645259938,0.5596330275229358,0.010703363914373654,-0.013761467889908285,-0.010703363914373099,0.012996941896024405
super,威力彩,development,hot_26,1308,4.716360856269113,2.076452599388379,0.20336391437308868,0.5420489296636085,-0.01529051987767538,0.003822629969418845,-0.0007645259938837967,-0.004587155963302836
super,威力彩,development,cold_26,1308,4.724006116207951,2.052752293577982,0.19495412844036697,0.5527522935779816,-0.00764525993883769,-0.019877675840978437,-0.009174311926605505,0.006116207951070263
super,威力彩,development,mix_26,1308,4.720183486238532,2.067278287461774,0.18960244648318042,0.558868501529052,-0.011467889908256979,-0.005351681957186383,-0.014525993883792054,0.012232415902140636
super,威力彩,development,hot_52,1308,4.746177370030581,2.052752293577982,0.18730886850152906,0.5351681957186545,0.014525993883792054,-0.019877675840978437,-0.016819571865443417,-0.011467889908256867
super,威力彩,development,cold_52,1308,4.745412844036697,2.058868501529052,0.1834862385321101,0.5282874617737003,0.01376146788990873,-0.013761467889908285,-0.020642201834862373,-0.01834862385321101
super,威力彩,development,mix_52,1308,4.7255351681957185,2.06651376146789,0.19724770642201836,0.5581039755351682,-0.006116207951070152,-0.006116207951070152,-0.006880733944954115,0.011467889908256867
super,威力彩,development,hot_104,1308,4.742354740061162,2.036697247706422,0.17889908256880735,0.5527522935779816,0.010703363914373654,-0.03593272171253847,-0.025229357798165125,0.006116207951070263
super,威力彩,development,cold_104,1308,4.746177370030581,2.058868501529052,0.18042813455657492,0.5611620795107034,0.014525993883792054,-0.013761467889908285,-0.02370030581039756,0.014525993883792054
