game,game_name,split,critic,critic_name,critiques,mean_score,score_std,pearson_score_to_actual,spearman_score_to_actual,top_quartile_actual_lift,constant_score
lotto649,大樂透,development,antipop_taoist,反眾道人,17580,0.3988270762229807,0.1263259175570392,-0.003205339612972368,-0.003365156103888373,0.0009696416554549891,False
lotto649,大樂透,development,balance_engineer,均衡工程師,17580,0.8715099508532423,0.12960727832084973,0.005929009854468025,0.0052953673731790255,0.0030937860513197135,False
lotto649,大樂透,development,cold_keeper,冷灶守望者,17580,0.4529136364050057,0.1158172887985432,-0.005531607997779522,-0.0032622039504548355,-0.010472782416167226,False
lotto649,大樂透,development,hot_hunter,熱手獵人,17580,0.45931397906712174,0.11485526781827483,0.005882816554583727,0.009108782266366832,0.011092719516449412,False
lotto649,大樂透,development,random_monk,亂數修士,17580,0.5,0.0,,,0.0,True
lotto649,大樂透,holdout,antipop_taoist,反眾道人,7536,0.40344944267515925,0.12556636910037833,-0.014008483824582994,-0.016552892780904674,-0.0270557733137351,False
lotto649,大樂透,holdout,balance_engineer,均衡工程師,7536,0.8702230492303609,0.12989843469177872,-0.007449952392787832,-0.012007711815003824,-0.00946346426043887,False
lotto649,大樂透,holdout,cold_keeper,冷灶守望者,7536,0.4529677283704883,0.11655720851829866,0.0031213120316989453,0.004038059397905342,-0.00039808917197448057,False
lotto649,大樂透,holdout,hot_hunter,熱手獵人,7536,0.45846394984076433,0.11481297299103997,-0.0029266009571235116,-0.0025776164567585204,0.00821338592782217,False
lotto649,大樂透,holdout,random_monk,亂數修士,7536,0.5,0.0,,,0.0,True
super,威力彩,development,antipop_taoist,反眾道人,15696,0.2773435907237513,0.10611898770930767,0.0015731227333498892,0.002382803462030245,0.015073369812762971,False
super,威力彩,development,balance_engineer,均衡工程師,15696,0.8656437779689092,0.13299864939207717,0.004600366642551936,0.009976790867581934,0.012787983646927459,False
super,威力彩,development,cold_keeper,冷灶守望者,15696,0.4522520149719674,0.11327612603645934,-0.0068775151452000905,-0.005913904443859766,-0.007300756711616785,False
super,威力彩,development,hot_hunter,熱手獵人,15696,0.4645683279816514,0.10818051927394706,-0.0029345520460955865,-0.0018997864407033099,-0.00648369867388765,False
super,威力彩,development,random_monk,亂數修士,15696,0.5,0.0,,,0.0,True
super,威力彩,holdout,antipop_taoist,反眾道人,6732,0.27803178847296495,0.10620871585989942,-0.005403071712404702,-0.0025181676519721273,-0.016593911731539235,False
super,威力彩,holdout,balance_engineer,均衡工程師,6732,0.8669468975044564,0.13207653308293252,-0.01210581357087132,-0.012445725389401566,-0.025996666927062928,False
super,威力彩,holdout,cold_keeper,冷灶守望者,6732,0.45317455199049317,0.11429928301697571,0.00688008813362943,0.005582895974922551,0.009803921568627416,False
super,威力彩,holdout,hot_hunter,熱手獵人,6732,0.4640275680332739,0.10778608364446425,-0.009174627268269182,-0.009310734461788133,-0.01945929887106357,False
super,威力彩,holdout,random_monk,亂數修士,6732,0.5,0.0,,,0.0,True
